Rec(t='1493058701.11', event='commit_move', piece='r', move_nu='16', move='(1, 2, 2)', instance='Jam-10'),12,198442,1702798,40527,1532
Rec(t='1493058712.21', event='commit_move', piece='y', move_nu='17', move='(5, 1, 3)', instance='Jam-10'),11,206213,1879620,82714,1310
Rec(t='1493058723.09', event='commit_move', piece='y', move_nu='18', move='(5, 0, 3)', instance='Jam-10'),12,197500,1694279,39736,1532
Rec(t='1493058728.04', event='commit_move', piece='w', move_nu='19', move='(3, 3, 3)', instance='Jam-10'),13,108159,931251,21049,1672
Rec(t='1493058735.66', event='commit_move', piece='r', move_nu='20', move='(3, 2, 2)', instance='Jam-10'),14,135669,1181450,129272,1674
Rec(t='1493058739.28', event='commit_move', piece='c', move_nu='21', move='(2, 1, 2)', instance='Jam-10'),15,235763,1950557,179939,1673
Rec(t='1493058747.0', event='commit_move', piece='w', move_nu='22', move='(1, 3, 3)', instance='Jam-10'),16,338343,2774607,253454,1674
Rec(t='1493058766.17', event='commit_move', piece='w', move_nu='23', move='(3, 3, 3)', instance='Jam-10'),15,234478,1941042,194618,1674
Rec(t='1493058785.42', event='commit_move', piece='c', move_nu='24', move='(2, 4, 2)', instance='Jam-10'),14,136910,1193191,136113,1674
Rec(t='1493058788.8', event='commit_move', piece='r', move_nu='25', move='(1, 2, 2)', instance='Jam-10'),13,110997,955640,22699,1672
Rec(t='1493058791.7', event='commit_move', piece='w', move_nu='26', move='(1, 3, 3)', instance='Jam-10'),12,197775,1695665,40514,1532
Rec(t='1493058805.97', event='start', piece='None', move_nu='0', move='None', instance='Jam-11'),26,63088,530940,10800,785
Rec(t='1493058820.0', event='commit_move', piece='B', move_nu='0', move='(0, 3, 3)', instance='Jam-11'),25,62107,523465,10927,784
Rec(t='1493058828.5', event='commit_move', piece='b', move_nu='1', move='(0, 0, 2)', instance='Jam-11'),26,308937,2701996,99714,785
Rec(t='1493058832.52', event='commit_move', piece='r', move_nu='2', move='(0, 2, 2)', instance='Jam-11'),25,280676,2454331,101487,785
Rec(t='1493058838.18', event='commit_move', piece='y', move_nu='3', move='(2, 0, 2)', instance='Jam-11'),24,67175,585178,20889,785
Rec(t='1493058841.99', event='commit_move', piece='w', move_nu='4', move='(1, 3, 3)', instance='Jam-11'),23,37395,327215,10770,785
